"order","section10","positionIn10","levelName","category","difficultyCode","difficultyNameZh","originalTargetChains","originalArrowTiles","planningMode","detailedDuty","playerPurpose","targetPressure","designNeed","avoid","sectionDuty","sectionIntent","sectionTheme","positionBeatRole","actualBeatRole","slotDutyV2","styleTargetV2","chainLanguageTargetV2","planningRule","replacementPriority","selectedCandidateId","selectedSource","reviewStatus"
"238","24","8","Main/Level_Main_238","shape","1","普通/恢复","106","778","section_script_driven","ShapeAnchor","体验视觉形状变化，在形状内清关","normal baseline","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","前300核心：依赖读题A / PressureBuild","LatePressureWindow","SpecialAnchorBeat","ShapeAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"239","24","9","Main/Level_Main_239","normal","4","极难","171","1038","section_script_driven","ExtremeMemory","完成章节级记忆点或boss感挑战","chapter/top peak: highest effective load nearby","solved; chapter top effective load; theme clear; fair choices","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","前300核心：依赖读题A / PressureBuild","PeakSetup","ExtremePeakBeat","ExtremeMemory","LongChain/Hub/Peel/Shape/Hole","spine/rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"240","24","10","Main/Level_Main_240","normal","1","普通/恢复","117","711","section_script_driven","NormalPractice","练习本段主语言，稳定推进","normal baseline","solved; stable choices; moderate coverage; not repetitive with neighbors","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","前300核心：依赖读题A / PressureBuild","PeakOrLanding","PracticeBeat","NormalPractice","Peel/Mixed","curve/rail","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"241","25","1","Main/Level_Main_241","normal","1","普通/恢复","119","949","section_script_driven","RecoveryFlow","顺畅连清，获得释放感","low/release","solved; smooth; low frustration; no excessive choice explosion","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","前300核心：依赖读题A / MiniPeakAndReset","ResetOpener","RecoveryBeat","RecoveryFlow","Flow/Peel/Mixed","curve/mixed","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"242","25","2","Main/Level_Main_242_hole","hole","1","普通/恢复","83","802","section_script_driven","HoleSpatialAnchor","体验洞洞/空间规则变化","normal baseline","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","前300核心：依赖读题A / MiniPeakAndReset","BaselinePractice","SpecialAnchorBeat","HoleSpatialAnchor","Hole/Mixed/Peel","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"243","25","3","Main/Level_Main_243","shape","2","困难","120","844","section_script_driven","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","前300核心：依赖读题A / MiniPeakAndReset","LanguageTurn","HardReadBeat","ShapeReadAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"244","25","4","Main/Level_Main_244","normal","1","普通/恢复","115","864","section_script_driven","LanguageVariation","适应链条语言或画布手感变化","normal-mid; novelty first","solved; visible language difference; pressure stays normal","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","前300核心：依赖读题A / MiniPeakAndReset","VisualSpatialTurn","VariationBeat","LanguageVariation","Mixed/Peel/Flow","patch/mixed","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"245","25","5","Main/Level_Main_245","normal","3","特别困难","150","925","section_script_driven","StylePeak","解决一个有主题的阶段峰值","peak: clearly harder than code2 in same stage","solved; quality gates","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","前300核心：依赖读题A / MiniPeakAndReset","BridgeRamp","PeakBeat","StylePeak","Shape/Peel/LongChain/Hub","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"246","25","6","Main/Level_Main_246","normal","1","普通/恢复","109","827","section_script_driven","NormalPractice","练习本段主语言，稳定推进","normal baseline","solved; stable choices; moderate coverage; not repetitive with neighbors","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","前300核心：依赖读题A / MiniPeakAndReset","FirstReadWindow","PracticeBeat","NormalPractice","Peel/Mixed","rail/curve","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"247","25","7","Main/Level_Main_247","shape","1","普通/恢复","109","902","section_script_driven","ShapeAnchor","体验视觉形状变化，在形状内清关","normal baseline","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","前300核心：依赖读题A / MiniPeakAndReset","BreathOrPractice","SpecialAnchorBeat","ShapeAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"248","25","8","Main/Level_Main_248","normal","1","普通/恢复","102","751","section_script_driven","NormalPractice","练习本段主语言，稳定推进","normal baseline","solved; stable choices; moderate coverage; not repetitive with neighbors","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","前300核心：依赖读题A / MiniPeakAndReset","LatePressureWindow","PracticeBeat","NormalPractice","Peel/Mixed","rail/curve","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"249","25","9","Main/Level_Main_249","normal","3","特别困难","137","840","section_script_driven","DependencyPeak","识别依赖顺序，完成本组核心挑战","peak: clearly harder than code2 in same stage","solved; dependency/read demand evidence; hard > normal by reason","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","前300核心：依赖读题A / MiniPeakAndReset","PeakSetup","PeakBeat","DependencyPeak","Peel/LongChain/Hub","System.Object[]","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"250","25","10","Main/Level_Main_250","normal","1","普通/恢复","107","793","section_script_driven","NormalPractice","练习本段主语言，稳定推进","normal baseline","solved; stable choices; moderate coverage; not repetitive with neighbors","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","MiniPeakAndReset","本50关小峰值；末段形成记忆点，下一组要释放","前300核心：依赖读题A / MiniPeakAndReset","PeakOrLanding","PracticeBeat","NormalPractice","Peel/Mixed","rail/curve","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"251","26","1","Main/Level_Main_251_hole","hole","1","普通/恢复","59","590","section_script_driven","HoleSpatialAnchor","体验洞洞/空间规则变化","normal baseline","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","前300核心：依赖读题B / ArcEntryReset","ResetOpener","SpecialAnchorBeat","HoleSpatialAnchor","Hole/Mixed/Peel","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"252","26","2","Main/Level_Main_252","normal","3","特别困难","147","894","section_script_driven","StylePeak","解决一个有主题的阶段峰值","peak: clearly harder than code2 in same stage","solved; quality gates","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","前300核心：依赖读题B / ArcEntryReset","BaselinePractice","PeakBeat","StylePeak","Shape/Peel/LongChain/Hub","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"253","26","3","Main/Level_Main_253","shape","2","困难","117","817","section_script_driven","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","前300核心：依赖读题B / ArcEntryReset","LanguageTurn","HardReadBeat","ShapeReadAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"254","26","4","Main/Level_Main_254","normal","1","普通/恢复","101","740","section_script_driven","LanguageVariation","适应链条语言或画布手感变化","normal-mid; novelty first","solved; visible language difference; pressure stays normal","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","前300核心：依赖读题B / ArcEntryReset","VisualSpatialTurn","VariationBeat","LanguageVariation","Mixed/Peel/Flow","rail","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"255","26","5","Main/Level_Main_255","normal","1","普通/恢复","110","839","section_script_driven","BridgeRamp","普通难度上沿，开始多看一步","normal-high but below hard","solved; normal-high effective load; prepares hard without becoming peak","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","前300核心：依赖读题B / ArcEntryReset","BridgeRamp","RampBeat","BridgeRamp","Peel/Mixed","rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"256","26","6","Main/Level_Main_256","normal","4","极难","159","986","section_script_driven","ExtremeMemory","完成章节级记忆点或boss感挑战","chapter/top peak: highest effective load nearby","solved; chapter top effective load; theme clear; fair choices","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","前300核心：依赖读题B / ArcEntryReset","FirstReadWindow","ExtremePeakBeat","ExtremeMemory","LongChain/Hub/Peel/Shape/Hole","spine/rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"257","26","7","Main/Level_Main_257","normal","1","普通/恢复","107","809","section_script_driven","RecoveryFlow","顺畅连清，获得释放感","low/release","solved; smooth; low frustration; no excessive choice explosion","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","前300核心：依赖读题B / ArcEntryReset","BreathOrPractice","RecoveryBeat","RecoveryFlow","Flow/Peel/Mixed","curve/mixed","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"258","26","8","Main/Level_Main_258","shape","1","普通/恢复","110","783","section_script_driven","ShapeAnchor","体验视觉形状变化，在形状内清关","normal baseline","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","前300核心：依赖读题B / ArcEntryReset","LatePressureWindow","SpecialAnchorBeat","ShapeAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"259","26","9","Main/Level_Main_259","normal","1","普通/恢复","126","777","section_script_driven","BridgeRamp","普通难度上沿，开始多看一步","normal-high but below hard","solved; normal-high effective load; prepares hard without becoming peak","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","前300核心：依赖读题B / ArcEntryReset","PeakSetup","RampBeat","BridgeRamp","Peel/Mixed","rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"260","26","10","Main/Level_Main_260","normal","1","普通/恢复","101","707","section_script_driven","NormalPractice","练习本段主语言，稳定推进","normal baseline","solved; stable choices; moderate coverage; not repetitive with neighbors","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","ArcEntryReset","进入新50关主题；从上一段峰值回落，同时引入本段语言","前300核心：依赖读题B / ArcEntryReset","PeakOrLanding","PracticeBeat","NormalPractice","Peel/Mixed","curve/rail","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"261","27","1","Main/Level_Main_261","normal","1","普通/恢复","107","851","section_script_driven","RecoveryFlow","顺畅连清，获得释放感","low/release","solved; smooth; low frustration; no excessive choice explosion","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","前300核心：依赖读题B / PracticeBuild","ResetOpener","RecoveryBeat","RecoveryFlow","Flow/Peel/Mixed","rail/mixed","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"262","27","2","Main/Level_Main_262","normal","1","普通/恢复","102","802","section_script_driven","NormalPractice","练习本段主语言，稳定推进","normal baseline","solved; stable choices; moderate coverage; not repetitive with neighbors","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","前300核心：依赖读题B / PracticeBuild","BaselinePractice","PracticeBeat","NormalPractice","Peel/Mixed","rail/curve","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"263","27","3","Main/Level_Main_263","shape","1","普通/恢复","116","738","section_script_driven","ShapeAnchor","体验视觉形状变化，在形状内清关","normal baseline","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","前300核心：依赖读题B / PracticeBuild","LanguageTurn","SpecialAnchorBeat","ShapeAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"264","27","4","Main/Level_Main_264","normal","3","特别困难","157","978","section_script_driven","StylePeak","解决一个有主题的阶段峰值","peak: clearly harder than code2 in same stage","solved; quality gates","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","前300核心：依赖读题B / PracticeBuild","VisualSpatialTurn","PeakBeat","StylePeak","Shape/Peel/LongChain/Hub","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"265","27","5","Main/Level_Main_265","normal","1","普通/恢复","104","767","section_script_driven","BridgeRamp","普通难度上沿，开始多看一步","normal-high but below hard","solved; normal-high effective load; prepares hard without becoming peak","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","前300核心：依赖读题B / PracticeBuild","BridgeRamp","RampBeat","BridgeRamp","Peel/Mixed","rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"266","27","6","Main/Level_Main_266","normal","1","普通/恢复","97","753","section_script_driven","NormalPractice","练习本段主语言，稳定推进","normal baseline","solved; stable choices; moderate coverage; not repetitive with neighbors","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","前300核心：依赖读题B / PracticeBuild","FirstReadWindow","PracticeBeat","NormalPractice","Peel/Mixed","rail/curve","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"267","27","7","Main/Level_Main_267_hole","hole","1","普通/恢复","82","809","section_script_driven","HoleSpatialAnchor","体验洞洞/空间规则变化","normal baseline","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","前300核心：依赖读题B / PracticeBuild","BreathOrPractice","SpecialAnchorBeat","HoleSpatialAnchor","Hole/Mixed/Peel","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"268","27","8","Main/Level_Main_268","shape","2","困难","118","813","section_script_driven","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","前300核心：依赖读题B / PracticeBuild","LatePressureWindow","HardReadBeat","ShapeReadAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"269","27","9","Main/Level_Main_269","normal","4","极难","184","1378","section_script_driven","ExtremeMemory","完成章节级记忆点或boss感挑战","chapter/top peak: highest effective load nearby","solved; chapter top effective load; theme clear; fair choices","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","前300核心：依赖读题B / PracticeBuild","PeakSetup","ExtremePeakBeat","ExtremeMemory","LongChain/Hub/Peel/Shape/Hole","spine/rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"270","27","10","Main/Level_Main_270","normal","1","普通/恢复","114","843","section_script_driven","NormalPractice","练习本段主语言，稳定推进","normal baseline","solved; stable choices; moderate coverage; not repetitive with neighbors","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PracticeBuild","练习本段主语言；普通稳定，小幅上坡","前300核心：依赖读题B / PracticeBuild","PeakOrLanding","PracticeBeat","NormalPractice","Peel/Mixed","rail/curve","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"271","28","1","Main/Level_Main_271","normal","1","普通/恢复","114","693","section_script_driven","RecoveryFlow","顺畅连清，获得释放感","low/release","solved; smooth; low frustration; no excessive choice explosion","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","前300核心：依赖读题B / VariationRead","ResetOpener","RecoveryBeat","RecoveryFlow","Flow/Peel/Mixed","rail/mixed","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"272","28","2","Main/Level_Main_272","normal","1","普通/恢复","115","880","section_script_driven","NormalPractice","练习本段主语言，稳定推进","normal baseline","solved; stable choices; moderate coverage; not repetitive with neighbors","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","前300核心：依赖读题B / VariationRead","BaselinePractice","PracticeBeat","NormalPractice","Peel/Mixed","curve/rail","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"273","28","3","Main/Level_Main_273","shape","1","普通/恢复","113","824","section_script_driven","ShapeAnchor","体验视觉形状变化，在形状内清关","normal baseline","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","前300核心：依赖读题B / VariationRead","LanguageTurn","SpecialAnchorBeat","ShapeAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"274","28","4","Main/Level_Main_274","normal","3","特别困难","131","1068","section_script_driven","DependencyPeak","识别依赖顺序，完成本组核心挑战","peak: clearly harder than code2 in same stage","solved; dependency/read demand evidence; hard > normal by reason","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","前300核心：依赖读题B / VariationRead","VisualSpatialTurn","PeakBeat","DependencyPeak","Peel/LongChain/Hub","System.Object[]","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"275","28","5","Main/Level_Main_275","normal","1","普通/恢复","106","776","section_script_driven","BridgeRamp","普通难度上沿，开始多看一步","normal-high but below hard","solved; normal-high effective load; prepares hard without becoming peak","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","前300核心：依赖读题B / VariationRead","BridgeRamp","RampBeat","BridgeRamp","Peel/Mixed","rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"276","28","6","Main/Level_Main_276","normal","4","极难","201","1187","section_script_driven","ExtremeMemory","完成章节级记忆点或boss感挑战","chapter/top peak: highest effective load nearby","solved; chapter top effective load; theme clear; fair choices","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","前300核心：依赖读题B / VariationRead","FirstReadWindow","ExtremePeakBeat","ExtremeMemory","LongChain/Hub/Peel/Shape/Hole","spine/rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"277","28","7","Main/Level_Main_277_hole","hole","1","普通/恢复","61","586","section_script_driven","HoleSpatialAnchor","体验洞洞/空间规则变化","normal baseline","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","前300核心：依赖读题B / VariationRead","BreathOrPractice","SpecialAnchorBeat","HoleSpatialAnchor","Hole/Mixed/Peel","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"278","28","8","Main/Level_Main_278","shape","2","困难","119","873","section_script_driven","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","前300核心：依赖读题B / VariationRead","LatePressureWindow","HardReadBeat","ShapeReadAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"279","28","9","Main/Level_Main_279","normal","1","普通/恢复","107","766","section_script_driven","BridgeRamp","普通难度上沿，开始多看一步","normal-high but below hard","solved; normal-high effective load; prepares hard without becoming peak","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","前300核心：依赖读题B / VariationRead","PeakSetup","RampBeat","BridgeRamp","Peel/Mixed","rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"280","28","10","Main/Level_Main_280","normal","1","普通/恢复","107","791","section_script_driven","NormalPractice","练习本段主语言，稳定推进","normal baseline","solved; stable choices; moderate coverage; not repetitive with neighbors","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","VariationRead","插入风格/链条语言变化；困难要求第一次明显读题","前300核心：依赖读题B / VariationRead","PeakOrLanding","PracticeBeat","NormalPractice","Peel/Mixed","curve/rail","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"281","29","1","Main/Level_Main_281","normal","1","普通/恢复","107","759","section_script_driven","RecoveryFlow","顺畅连清，获得释放感","low/release","solved; smooth; low frustration; no excessive choice explosion","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","前300核心：依赖读题B / PressureBuild","ResetOpener","RecoveryBeat","RecoveryFlow","Flow/Peel/Mixed","rail/mixed","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"282","29","2","Main/Level_Main_282","normal","1","普通/恢复","107","784","section_script_driven","NormalPractice","练习本段主语言，稳定推进","normal baseline","solved; stable choices; moderate coverage; not repetitive with neighbors","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","前300核心：依赖读题B / PressureBuild","BaselinePractice","PracticeBeat","NormalPractice","Peel/Mixed","curve/rail","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"283","29","3","Main/Level_Main_283","shape","2","困难","119","906","section_script_driven","ShapeReadAnchor","在特殊空间里完成一次读题","hard: harder by read/region/anti-local, not only raw chains","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","前300核心：依赖读题B / PressureBuild","LanguageTurn","HardReadBeat","ShapeReadAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"284","29","4","Main/Level_Main_284","normal","3","特别困难","172","1054","section_script_driven","StylePeak","解决一个有主题的阶段峰值","peak: clearly harder than code2 in same stage","solved; quality gates","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","前300核心：依赖读题B / PressureBuild","VisualSpatialTurn","PeakBeat","StylePeak","Shape/Peel/LongChain/Hub","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"285","29","5","Main/Level_Main_285_hole","hole","1","普通/恢复","62","587","section_script_driven","HoleSpatialAnchor","体验洞洞/空间规则变化","normal baseline","solved; special category is the experience anchor; no unfair blockage","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","前300核心：依赖读题B / PressureBuild","BridgeRamp","SpecialAnchorBeat","HoleSpatialAnchor","Hole/Mixed/Peel","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"286","29","6","Main/Level_Main_286","normal","1","普通/恢复","107","823","section_script_driven","NormalPractice","练习本段主语言，稳定推进","normal baseline","solved; stable choices; moderate coverage; not repetitive with neighbors","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","前300核心：依赖读题B / PressureBuild","FirstReadWindow","PracticeBeat","NormalPractice","Peel/Mixed","curve/rail","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"287","29","7","Main/Level_Main_287","normal","4","极难","214","1313","section_script_driven","ExtremeMemory","完成章节级记忆点或boss感挑战","chapter/top peak: highest effective load nearby","solved; chapter top effective load; theme clear; fair choices","不要只靠raw chain count；避免相邻关同风格/同语言/同画布手感","PressureBuild","提高压力但保留呼吸；强化区域/方向切换","前300核心：依赖读题B / PressureBuild","BreathOrPractice","ExtremePeakBeat","ExtremeMemory","LongChain/Hub/Peel/Shape/Hole","spine/rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
