order,section10,mainMissionId,levelName,category,difficultyNameZh,experienceRole,roleInSection,finalStatus,finalLevelId,finalAssetPath,originalLevelId,originalAssetPath,replacementSourceKind,productionLane,productionChainLanguage,productionDifficultyBand,sourceCoverage,maxChoices,localPatchSolveRunMax,nearOuterPatchSolveRunMax,solveTraceQualityScore,solveTraceCollapseRiskScore,solveSameAxisRunMax,solveSameDirHeadRunMax,assemblyAction,assemblySourcePool,assemblySourceRoot,assemblyGateClass,assemblySelectionReason,assemblyCopyRequired,assemblyCandidateLevelId,assemblyCandidateAssetPath,assemblyCandidateStyle,assemblyCandidateChainLanguage,assemblyCandidateRole,assemblyManualReview,assemblyRemainingGap,assemblyGapReason,assemblyCandidateWidth,assemblyCandidateHeight,assemblyCandidateChains,assemblyCandidateAvgChoices,assemblyCandidateMaxChain,assemblyCandidateAvgChain,assemblyCandidateStraightness,assemblyCandidateProfile
182,19,282,Main/Level_Main_182,normal,普通/恢复,Normal,NormalA_FlowOrNeutral,ReplacedFront300PriorityV3,c5nep_w12d_23_nutation_strict_mixed_hard_v1_rect_s40_o394_v06_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_23_nutation_strict_mixed_hard_v1_rect_s40_o394_v06_strictmixedhard_mixed_chain.asset,direct_pure_topup_04_06_direct_normal_pure_rect_core_burst_g6_v01,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L182_direct_pure_topup_04_06_direct_normal_pure_rect_co.asset,normal,Campaign500_HardGateUntil0910,rail_chain,Hard,0.981,8,5,3,0.872,0.177,6,6,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=hardgate_hard|oldStatus=ReplacedHardGate0910,False,c5nep_w12d_23_nutation_strict_mixed_hard_v1_rect_s40_o394_v06_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_23_nutation_strict_mixed_hard_v1_rect_s40_o394_v06_strictmixedhard_mixed_chain.asset,,rail_chain,Hard,False,False,,,,,,,,,Campaign500NormalFullV1:w12d
183,19,283,Main/Level_Main_183,shape,普通/恢复,Shape,,ShapeCandidatePlanned,campaign500_shape_psg_review_top3_rescue_46_L183_airplane_sweep,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_46_L183_airplane_sweep.asset,r2_outer_strong_005_r2_006_a401_maskonlyb04_04_main_airplane,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L183_r2_outer_strong_005_r2_006_a401_maskonlyb04_04_mai.asset,shape_psg_inventory,,,,0.987,10,9,2,,,,,ActiveReplace,ShapeMaskInventory,.worktrees/mask-psg-production,LatestProposedKeep,Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.,True,campaign500_shape_psg_review_top3_rescue_46_L183_airplane_sweep,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_46_L183_airplane_sweep.asset,Sweep,,TraceKeeper,False,False,,,,91,6.04,,,,Sweep
184,19,284,Main/Level_Main_184_hole,hole,普通/恢复,HoleRescue,,OriginalNonTarget,hole_topup_024_topup_std_24x28_dual,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L184_hole_topup_024_topup_std_24x28_dual.asset,hole_topup_024_topup_std_24x28_dual,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L184_hole_topup_024_topup_std_24x28_dual.asset,,,,,,,,,,,,,KeepCurrent,,main,,,False,,,,,,False,False,,,,,,,,,
185,19,285,Main/Level_Main_185,normal,困难,Pressure,Hard,ReplacedFront300PriorityV3,c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b.asset,direct_normal_158_direct_normal_rect_stair_push_g3_v16,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L185_direct_normal_158_direct_normal_rect_stair_push_g3.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,Peak,0.983,9,5,3,0.936,0.104,7,4,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=hardgate_hard|oldStatus=ExternalCandidatePlanned,False,c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b.asset,,mixed_chain,Peak,False,False,,,,,4.33,,,,Campaign500NormalFullV1:w13d
186,19,286,Main/Level_Main_186,normal,普通/恢复,Recovery,NormalB_NeutralOrPeelLight,ReplacedFront300PriorityV3,nutation_hub_mixed_v1_strict30_refill_19_s05_r03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_19_s05_r03.asset,direct_normal_55_direct_normal_rect_sweep_g5_v06,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L186_direct_normal_55_direct_normal_rect_sweep_g5_v06.asset,normal,HubMixedRefill30Front300,mixed_chain,,0.957,11,6,5,0.827,0.278,8,7,ActiveReplace,HubMixedRefill30Front300,,HubMixedRefillLocal9SupplementFront300,front300_priority_v3|primary145=False|class=hub|oldStatus=ReplacedHardGate0910,False,nutation_hub_mixed_v1_strict30_refill_19_s05_r03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_19_s05_r03.asset,hub_spoke,mixed_chain,,False,False,,23,31,98,,14,6.96,0.597,
187,19,287,Main/Level_Main_187,shape,普通/恢复,Shape,,ShapeCandidatePlanned,campaign500_shape_psg_remaining_drop_top3_07_L187_waterdrop_r2core,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_07_L187_waterdrop_r2core.asset,r2_outer_strong_005_r2_006_a401_maskonlyb04_03_main_waterdrop,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L187_r2_outer_strong_005_r2_006_a401_maskonlyb04_03_mai.asset,shape_psg_inventory,,,,0.989,9,10,3,,,,,ActiveReplace,ShapeMaskInventory,.worktrees/mask-psg-production,LatestProposedKeep,Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.,True,campaign500_shape_psg_remaining_drop_top3_07_L187_waterdrop_r2core,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_07_L187_waterdrop_r2core.asset,CoreBurst,,TraceKeeper,False,False,,,,90,4.86,,,,CoreBurst
188,19,288,Main/Level_Main_188,normal,普通/恢复,Normal,,ReplacedFront300PriorityV3,c5nep_w12c_11_nutation_strict_mixed_hard_v1_rect_s29_o287_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12c/c5nep_w12c_11_nutation_strict_mixed_hard_v1_rect_s29_o287_v02_strictmixedhard_mixed_chain.asset,direct_normal_topup_61_direct_normal_topup_rect_dual_zone_g7_v08,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L188_direct_normal_topup_61_direct_normal_topup_rect_du.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,Peak,0.988,9,7,4,0.848,0.208,6,6,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=hardgate_hard|oldStatus=OriginalNonTarget,False,c5nep_w12c_11_nutation_strict_mixed_hard_v1_rect_s29_o287_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12c/c5nep_w12c_11_nutation_strict_mixed_hard_v1_rect_s29_o287_v02_strictmixedhard_mixed_chain.asset,,mixed_chain,Peak,False,False,,,,,,,,,Campaign500NormalFullV1:w12c
189,19,289,Main/Level_Main_189,normal,特别困难,Pressure,Peak,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s01_s13_91_nutation_peel_v2_rect_s08_o075_v00_peelmid_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_91_nutation_peel_v2_rect_s08_o075_v00_peelmid_curve_chain.asset,direct_normal_56_direct_normal_rect_core_burst_g5_v06,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L189_direct_normal_56_direct_normal_rect_core_burst_g5_.asset,normal,Campaign500_HardGateUntil0910,curve_chain,Hard,0.987,9,5,3,0.854,0.225,7,7,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=hardgate_hard|oldStatus=ExternalCandidatePlanned,False,campaign500_normal_full_v1_s01_s13_91_nutation_peel_v2_rect_s08_o075_v00_peelmid_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_91_nutation_peel_v2_rect_s08_o075_v00_peelmid_curve_chain.asset,,curve_chain,Hard,False,False,,,,,4.33,,,,relocated_from_order_75
190,19,290,Main/Level_Main_190,normal,普通/恢复,Normal,,ReplacedFront300PriorityV3,nutation_hub_mixed_v1_strict30_refill_20_s05_r04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_20_s05_r04.asset,direct_normal_topup_54_direct_normal_topup_rect_stair_push_g6_v07,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L190_direct_normal_topup_54_direct_normal_topup_rect_st.asset,normal,HubMixedRefill30Front300,mixed_chain,,0.962,11,6,5,0.824,0.28,8,7,ActiveReplace,HubMixedRefill30Front300,,HubMixedRefillLocal9SupplementFront300,front300_priority_v3|primary145=False|class=hub|oldStatus=OriginalNonTarget,False,nutation_hub_mixed_v1_strict30_refill_20_s05_r04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_20_s05_r04.asset,hub_spoke,mixed_chain,,False,False,,23,31,99,,14,6.93,0.598,
191,20,291,Main/Level_Main_191,normal,普通/恢复,Normal,,ReplacedFront300PriorityV3,c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain.asset,direct_pure_normal_extra_02_18_direct_normal_pure_extra_rect_lock_buckle_g20_v06,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L191_direct_pure_normal_extra_02_18_direct_normal_pure_.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,Peak,0.982,10,4,3,0.884,0.139,8,4,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=hardgate_hard|oldStatus=OriginalNonTarget,False,c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain.asset,,mixed_chain,Peak,False,False,,,,,,,,,Campaign500NormalFullV1:w10smp
192,20,292,Main/Level_Main_192_hole,hole,普通/恢复,HoleRescue,,OriginalNonTarget,hole_topup_035_topup_std_28x28_dense,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L192_hole_topup_035_topup_std_28x28_dense.asset,hole_topup_035_topup_std_28x28_dense,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L192_hole_topup_035_topup_std_28x28_dense.asset,,,,,,,,,,,,,KeepCurrent,,main,,,False,,,,,,False,False,,,,,,,,,
193,20,293,Main/Level_Main_193,shape,普通/恢复,Shape,,ShapeCandidatePlanned,campaign500_shape_psg_next10c_05_L193_robothead,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10C/campaign500_shape_psg_next10c_05_L193_robothead.asset,r2_outer_strong_005_r2_006_a401_maskonlyb07_08_large_robothead,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L193_r2_outer_strong_005_r2_006_a401_maskonlyb07_08_lar.asset,shape_psg_inventory,,,,0.991,11,9,2,,,,,ActiveReplace,ShapeMaskInventory,.worktrees/mask-psg-production,LatestProposedKeep,Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.,True,campaign500_shape_psg_next10c_05_L193_robothead,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10C/campaign500_shape_psg_next10c_05_L193_robothead.asset,DenseWeave,,TraceKeeper,False,False,,,,104,5.64,,,,DenseWeave
194,20,294,Main/Level_Main_194,normal,普通/恢复,Normal,NormalB_NeutralOrPeelLight,ReplacedFront300PriorityV3,c5nep_w12a_29_nutation_strict_mixed_hard_v1_rect_s42_o412_v04_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_29_nutation_strict_mixed_hard_v1_rect_s42_o412_v04_strictmixedhard_mixed_chain.asset,direct_pure_normal_extra_01_11_direct_normal_pure_extra_rect_dense_weave_g16_v02,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L194_direct_pure_normal_extra_01_11_direct_normal_pure_.asset,normal,Campaign500NormalFullV1UnusedStrict,rail_chain,Hard,0.988,10,5,3,0.814,0.254,7,7,ActiveReplace,Campaign500NormalFullV1UnusedStrict,,CampaignStrictSupplementFront300,front300_priority_v3|primary145=False|class=peel_hard|oldStatus=ReplacedHardGate0910,False,c5nep_w12a_29_nutation_strict_mixed_hard_v1_rect_s42_o412_v04_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_29_nutation_strict_mixed_hard_v1_rect_s42_o412_v04_strictmixedhard_mixed_chain.asset,peel_mid,rail_chain,Hard,False,False,,25,33,82,,20,9.94,0.496,
195,20,295,Main/Level_Main_195,normal,普通/恢复,Recovery,,ReplacedFront300PriorityV3,c5nep_w9smp_06_nutation_strict_mixed_peak_v1_rect_s07_o065_v01_strictmixedpeak_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smp/c5nep_w9smp_06_nutation_strict_mixed_peak_v1_rect_s07_o065_v01_strictmixedpeak_mixed_chain.asset,direct_normal_topup_08_direct_normal_topup_rect_sweep_g6_v01,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L195_direct_normal_topup_08_direct_normal_topup_rect_sw.asset,normal,Campaign500_HardGateUntil0910,rail_chain,Peak,0.982,9,4,4,0.82,0.221,7,7,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=hardgate_hard|oldStatus=OriginalNonTarget,False,c5nep_w9smp_06_nutation_strict_mixed_peak_v1_rect_s07_o065_v01_strictmixedpeak_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smp/c5nep_w9smp_06_nutation_strict_mixed_peak_v1_rect_s07_o065_v01_strictmixedpeak_mixed_chain.asset,,rail_chain,Peak,False,False,,,,,,,,,Campaign500NormalFullV1:w9smp
196,20,296,Main/Level_Main_196,normal,极难,Peak,Peak,ReplacedFront300PriorityV3,c5nep_w13a_16_nutation_strict_mixed_axisbreak_v1_rect_s21_o209_v03_strictmixedaxisbreak_axis_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_16_nutation_strict_mixed_axisbreak_v1_rect_s21_o209_v03_strictmixedaxisbreak_axis_break_chain.asset,direct_polish_clean_13_direct_polish_normal_rect_core_burst_g1_v02,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L196_direct_polish_clean_13_direct_polish_normal_rect_c.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,Peak,0.988,10,6,6,0.833,0.244,7,7,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=hardgate_hard|oldStatus=ReplacedHardGate0910,False,c5nep_w13a_16_nutation_strict_mixed_axisbreak_v1_rect_s21_o209_v03_strictmixedaxisbreak_axis_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_16_nutation_strict_mixed_axisbreak_v1_rect_s21_o209_v03_strictmixedaxisbreak_axis_break_chain.asset,,mixed_chain,Peak,False,False,,,,,,,,,Campaign500NormalFullV1:w13a
197,20,297,Main/Level_Main_197,normal,普通/恢复,Normal,NormalA_FlowOrNeutral,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain.asset,direct_pure_topup_05_24_direct_normal_pure_rect_maze_long_chain_g11_v06,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L197_direct_pure_topup_05_24_direct_normal_pure_rect_ma.asset,normal,Campaign500NormalFullV1UnusedStrict,mixed_chain,Peak,0.985,10,5,4,0.816,0.26,7,7,ActiveReplace,Campaign500NormalFullV1UnusedStrict,,CampaignStrictSupplementFront300,front300_priority_v3|primary145=False|class=peel_hard|oldStatus=ReplacedHardGate0910,False,campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain.asset,psg_pressure_peak,mixed_chain,Peak,False,False,,26,34,90,,21,9.68,0.502,
198,20,298,Main/Level_Main_198,shape,普通/恢复,Shape,,ShapeCandidatePlanned,campaign500_shape_psg_next10c_06_L198_headphones,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10C/campaign500_shape_psg_next10c_06_L198_headphones.asset,r2_outer_strong_005_r2_006_a401_maskonlyb05_09_main_headphones,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L198_r2_outer_strong_005_r2_006_a401_maskonlyb05_09_mai.asset,shape_psg_inventory,,,,0.988,10,12,3,,,,,ActiveReplace,ShapeMaskInventory,.worktrees/mask-psg-production,LatestProposedKeep,Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.,True,campaign500_shape_psg_next10c_06_L198_headphones,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10C/campaign500_shape_psg_next10c_06_L198_headphones.asset,LockBuckle,,TraceKeeper,False,False,,,,101,5.75,,,,LockBuckle
199,20,299,Main/Level_Main_199,normal,普通/恢复,Recovery,Hard,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain.asset,direct_normal_42_direct_normal_rect_section_unlock_g4_v05,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L199_direct_normal_42_direct_normal_rect_section_unlock.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,Peak,0.981,9,4,3,0.858,0.24,7,7,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=hardgate_hard|oldStatus=ReplacedHardGate0910,False,campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain.asset,,mixed_chain,Peak,False,False,,,,,,,,,relocated_from_order_336
200,20,300,Main/Level_Main_200,normal,普通/恢复,Normal,,ReplacedFront300PriorityV3,c5nep_w10smh_17_nutation_strict_mixed_hard_v1_rect_s24_o236_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_17_nutation_strict_mixed_hard_v1_rect_s24_o236_v00_strictmixedhard_mixed_chain.asset,direct_normal_topup_06_direct_normal_topup_rect_stair_push_g6_v01,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L200_direct_normal_topup_06_direct_normal_topup_rect_st.asset,normal,Campaign500_HardGateUntil0910,rail_chain,Hard,0.989,10,6,3,0.846,0.211,8,6,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=hardgate_hard|oldStatus=OriginalNonTarget,False,c5nep_w10smh_17_nutation_strict_mixed_hard_v1_rect_s24_o236_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_17_nutation_strict_mixed_hard_v1_rect_s24_o236_v00_strictmixedhard_mixed_chain.asset,,rail_chain,Hard,False,False,,,,,,,,,Campaign500NormalFullV1:w10smh
201,21,301,Main/Level_Main_201_hole,hole,普通/恢复,HoleRescue,,OriginalNonTarget,hole_candidate_037_std_26x24_section,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L201_hole_candidate_037_std_26x24_section.asset,hole_candidate_037_std_26x24_section,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L201_hole_candidate_037_std_26x24_section.asset,,,,,,,,,,,,,KeepCurrent,,main,,,False,,,,,,False,False,,,,,,,,,
202,21,302,Main/Level_Main_202,normal,普通/恢复,Normal,NormalA_FlowOrNeutral,ReplacedFront300PriorityV3,c5nep_w11b_04_nutation_strict_mixed_hard_v1_rect_s02_o019_v03_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_04_nutation_strict_mixed_hard_v1_rect_s02_o019_v03_strictmixedhard_mixed_chain.asset,direct_pure_topup_06_09_direct_normal_pure_rect_outer_shell_g7_v08,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L202_direct_pure_topup_06_09_direct_normal_pure_rect_ou.asset,normal,Campaign500_HardGateUntil0910,rail_chain,Peak,0.979,9,5,5,0.894,0.129,5,5,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=hardgate_hard|oldStatus=OriginalTargetMissingHardGate,False,c5nep_w11b_04_nutation_strict_mixed_hard_v1_rect_s02_o019_v03_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_04_nutation_strict_mixed_hard_v1_rect_s02_o019_v03_strictmixedhard_mixed_chain.asset,,rail_chain,Peak,False,False,,,,,,,,,Campaign500NormalFullV1:w11b
203,21,303,Main/Level_Main_203,shape,普通/恢复,Shape,,ShapeCandidatePlanned,campaign500_shape_psg_next10c_07_L203_microphone,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10C/campaign500_shape_psg_next10c_07_L203_microphone.asset,r2_outer_strong_005_r2_006_a401_maskonlyb05_10_large_microphone,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L203_r2_outer_strong_005_r2_006_a401_maskonlyb05_10_lar.asset,shape_psg_inventory,,,,0.988,10,9,2,,,,,ActiveReplace,ShapeMaskInventory,.worktrees/mask-psg-production,LatestProposedKeep,Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.,True,campaign500_shape_psg_next10c_07_L203_microphone,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10C/campaign500_shape_psg_next10c_07_L203_microphone.asset,Sweep,,TraceKeeper,False,False,,,,101,5.49,,,,Sweep
204,21,304,Main/Level_Main_204,normal,困难,Pressure,,ReplacedFront300PriorityV3,nutation_longchain_candidate80_v1_08_nutation_longchain_spine_v1_rect_c80_02_d1_maze_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_08_nutation_longchain_spine_v1_rect_c80_02_d1_maze_spine.asset,direct_normal_67_direct_normal_rect_dual_zone_g0_v07,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L204_direct_normal_67_direct_normal_rect_dual_zone_g0_v.asset,normal,NutationLongChainStrict60Front300,spine_chain,,0.924,6,6,5,0.961,0.037,4,3,ActiveReplace,NutationLongChainStrict60Front300,,NutationLongChainStrictSupplementFront300,front300_priority_v3|primary145=False|class=longchain|oldStatus=OriginalNonTarget,False,nutation_longchain_candidate80_v1_08_nutation_longchain_spine_v1_rect_c80_02_d1_maze_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_08_nutation_longchain_spine_v1_rect_c80_02_d1_maze_spine.asset,maze_long_chain,spine_chain,,False,False,,23,31,43,,25,15.33,0.558,
205,21,305,Main/Level_Main_205,normal,普通/恢复,Recovery,,ReplacedFront300PriorityV3,campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain.asset,direct_normal_topup_24_direct_normal_topup_rect_sweep_g8_v03,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L205_direct_normal_topup_24_direct_normal_topup_rect_sw.asset,normal,Campaign500_HardGateUntil0910,mixed_chain,Peak,0.985,9,4,4,0.884,0.169,6,6,ActiveReplace,Campaign500_HardGateUntil0910,,CampaignHardGateFront300Priority,front300_priority_v3|primary145=True|class=hardgate_hard|oldStatus=OriginalNonTarget,False,campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain.asset,,mixed_chain,Peak,False,False,,,,,,,,,relocated_from_order_376
