"order","section10","category","difficultyNameZh","experienceRole","replacementMark","isChangedFromOriginalTemplate","finalStatus","assemblyAction","loadMode","originalLevelId","originalAssetPath","finalLevelId","finalAssetPath","actualLoadedAssetPath","actualLoadedGuid","syncAssetPath","replacementSourcePool","replacementSourceKind","assemblyGateClass","productionLane","productionStyle","productionChainLanguage","rhythmStyleGroup","sectionWaveRole","rhythmStageBand","templateTargetChains","actualChains","effectiveChainLoad","sourceCoverage","maxChoices","localPatchSolveRunMax","solveTraceQualityScore","rhythmPlacementReason","assemblySelectionReason"
"253","26","shape","困难","Shape","REPLACED","True","ShapeCandidatePlanned","ActiveReplace","ManifestAsset","r2_outer_strong_005_r2_006_a401_maskonlyb04_12_main_gear","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L253_r2_outer_strong_005_r2_006_a401_maskonlyb04_12_mai.asset","campaign500_shape_psg_review_top3_rescue_70_L253_gear_dense","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_70_L253_gear_dense.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_70_L253_gear_dense.asset","4b06220a646c0d940952c3dd64a2f930","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_70_L253_gear_dense.asset","ShapeMaskInventory","shape_psg_inventory","LatestProposedKeep","","DenseWeave","","","Shape","S03_front300_quality","117","108","","0.988","10","6","","unchanged_from_v3_or_non_normal","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"254","26","normal","普通/恢复","Normal","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_normal_topup_38_direct_normal_topup_rect_stair_push_g10_v05","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L254_direct_normal_topup_38_direct_normal_topup_rect_st.asset","c5hole_lowchoice_v1_h04r_09_nutation_strict_mixed_hard_v1_rect_s16_o152_v02_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_09_nutation_strict_mixed_hard_v1_rect_s16_o152_v02_strictmixedhard_strict_hard_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_09_nutation_strict_mixed_hard_v1_rect_s16_o152_v02_strictmixedhard_strict_hard_chain_hf1.asset","3f425dbaad1c2584ab1b8037e5d455bd","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_09_nutation_strict_mixed_hard_v1_rect_s16_o152_v02_strictmixedhard_strict_hard_chain_hf1.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","Campaign500_HardGateUntil0910","hardgate","strict_hard_chain","hardgate","Normal","S03_front300_quality","101","70","71.52","0.98","8","3","0.907","target=101;stageTarget=101;effective=71.5;chains=70;role=Normal;style=hardgate;chain=strict_hard_chain;cost=126.8","rhythm_v4|target=101;stageTarget=101;effective=71.5;chains=70;role=Normal;style=hardgate;chain=strict_hard_chain;cost=126.8"
"255","26","normal","普通/恢复","Recovery","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_normal_151_direct_normal_rect_outer_shell_g3_v16","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L255_direct_normal_151_direct_normal_rect_outer_shell_g.asset","c5nep_w11c_35_nutation_strict_mixed_hard_v1_rect_s39_o386_v04_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_35_nutation_strict_mixed_hard_v1_rect_s39_o386_v04_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_35_nutation_strict_mixed_hard_v1_rect_s39_o386_v04_strictmixedhard_mixed_chain.asset","42c02a1ed9bc9854d93f7e5d7b720051","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_35_nutation_strict_mixed_hard_v1_rect_s39_o386_v04_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","FlowCurve","flow","curve_chain","flow","Recovery","S03_front300_quality","110","66","68.64","0.975","8","5","0.833","target=110;stageTarget=110;effective=68.6;chains=66;role=Recovery;style=flow;chain=curve_chain;cost=160.3","rhythm_v4|target=110;stageTarget=110;effective=68.6;chains=66;role=Recovery;style=flow;chain=curve_chain;cost=160.3"
"256","26","normal","极难","Peak","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_polish_hard_07_direct_polish_hard_rect_quasi_symmetry_g4_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L256_direct_polish_hard_07_direct_polish_hard_rect_quas.asset","campaign500_longchain_prod200_pool_v1_06_l005_long_normal_b_normal_s01_slot_seedweave_braid_carrier","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_06_l005_long_normal_b_normal_s01_slot_seedweave_braid_carrier.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_06_l005_long_normal_b_normal_s01_slot_seedweave_braid_carrier.asset","d3e46304cdc49bc43b1818cb9f281915","U/Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_06_l005_long_normal_b_normal_s01_slot_seedweave_braid_carrier.asset","SeedV5LongChain30Front300","normal","RhythmV4Front300TraceKeep","slot_seedweave_braid_carrier","longchain","family_profile_chain","longchain","PeakExtreme","S03_front300_quality","159","26","72.85","0.9492","11","4","0.91","target=159;stageTarget=159;effective=72.8;chains=26;role=PeakExtreme;style=longchain;chain=family_profile_chain;cost=237.4","rhythm_v4|target=159;stageTarget=159;effective=72.8;chains=26;role=PeakExtreme;style=longchain;chain=family_profile_chain;cost=237.4"
"257","26","normal","普通/恢复","Normal","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_normal_153_direct_normal_rect_lock_buckle_g3_v16","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L257_direct_normal_153_direct_normal_rect_lock_buckle_g.asset","c5nep_w11a_46_nutation_strict_mixed_hard_v1_rect_s45_o446_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_46_nutation_strict_mixed_hard_v1_rect_s45_o446_v00_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_46_nutation_strict_mixed_hard_v1_rect_s45_o446_v00_strictmixedhard_mixed_chain.asset","ce3097417c36e1d41b8d59157e24c9ea","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_46_nutation_strict_mixed_hard_v1_rect_s45_o446_v00_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1UnusedStrict","normal","RhythmV4Front300TraceKeep","PeelLight","peel","curve_chain","peel","Normal","S03_front300_quality","107","66","77.71","0.98","8","8","0.841","target=107;stageTarget=107;effective=77.7;chains=66;role=Normal;style=peel;chain=curve_chain;cost=145.9","rhythm_v4|target=107;stageTarget=107;effective=77.7;chains=66;role=Normal;style=peel;chain=curve_chain;cost=145.9"
"258","26","shape","普通/恢复","Shape","REPLACED","True","ShapeCandidatePlanned","ActiveReplace","ManifestAsset","r2_outer_strong_005_r2_006_a401_maskonlyb09_02_main_questionmarkvarianta","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L258_r2_outer_strong_005_r2_006_a401_maskonlyb09_02_mai.asset","campaign500_shape_psg_next10d_08_L258_questionmarkvarianta","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10D/campaign500_shape_psg_next10d_08_L258_questionmarkvarianta.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10D/campaign500_shape_psg_next10d_08_L258_questionmarkvarianta.asset","3b0420ffba1c0e8449d09ad03b43040c","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10D/campaign500_shape_psg_next10d_08_L258_questionmarkvarianta.asset","ShapeMaskInventory","shape_psg_inventory","LatestProposedKeep","","Sweep","","","Shape","S03_front300_quality","110","107","","0.989","10","10","","unchanged_from_v3_or_non_normal","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"259","26","normal","普通/恢复","Recovery","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L259_direct_pure_topup_10_18_direct_polish_hard_pure_re.asset","campaign500_normal_full_v1_s39_s50_tail_21_nutation_mixed_neutral_v1_rect_s43_o422_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_21_nutation_mixed_neutral_v1_rect_s43_o422_v02_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_21_nutation_mixed_neutral_v1_rect_s43_o422_v02_neutralmixed_mixed_chain.asset","cffd7487a1c944e8aa2f6ff34327d861","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_21_nutation_mixed_neutral_v1_rect_s43_o422_v02_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","NeutralMixed","neutral","mixed_chain","neutral","Recovery","S03_front300_quality","126","66","71.45","0.991","10","5","0.914","target=126;stageTarget=126;effective=71.5;chains=66;role=Recovery;style=neutral;chain=mixed_chain;cost=210.0","rhythm_v4|target=126;stageTarget=126;effective=71.5;chains=66;role=Recovery;style=neutral;chain=mixed_chain;cost=210.0"
"260","26","normal","普通/恢复","Normal","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_normal_78_direct_normal_rect_stair_push_g1_v08","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L260_direct_normal_78_direct_normal_rect_stair_push_g1_.asset","c5nep_w9smh_10_nutation_strict_mixed_hard_v1_rect_s12_o116_v01_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_10_nutation_strict_mixed_hard_v1_rect_s12_o116_v01_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_10_nutation_strict_mixed_hard_v1_rect_s12_o116_v01_strictmixedhard_mixed_chain.asset","f8634942d575e7e4589146fb9bafc78d","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_10_nutation_strict_mixed_hard_v1_rect_s12_o116_v01_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","PeelMid","hardgate","rail_chain","hardgate","Normal","S03_front300_quality","101","66","72.53","0.986","9","4","0.875","target=101;stageTarget=101;effective=72.5;chains=66;role=Normal;style=hardgate;chain=rail_chain;cost=132.4","rhythm_v4|target=101;stageTarget=101;effective=72.5;chains=66;role=Normal;style=hardgate;chain=rail_chain;cost=132.4"
"261","27","normal","普通/恢复","Recovery","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","sgp_merged_final_outer_repair_quality_filtered26_harde_09_sgp_linework_maze_05_sgp_linework_maze_bluepri","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L261_sgp_merged_final_outer_repair_quality_filtered26_h.asset","c5nep_w11a_01_nutation_strict_mixed_hard_v1_rect_s01_o010_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_01_nutation_strict_mixed_hard_v1_rect_s01_o010_v00_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_01_nutation_strict_mixed_hard_v1_rect_s01_o010_v00_strictmixedhard_mixed_chain.asset","0d5fd6a99198745429e2098e84eb9fac","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_01_nutation_strict_mixed_hard_v1_rect_s01_o010_v00_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","PeelHard","hardgate","rail_chain","hardgate","Recovery","S03_front300_quality","107","65","77.73","0.986","10","4","0.835","target=107;stageTarget=107;effective=77.7;chains=65;role=Recovery;style=hardgate;chain=rail_chain;cost=156.6","rhythm_v4|target=107;stageTarget=107;effective=77.7;chains=65;role=Recovery;style=hardgate;chain=rail_chain;cost=156.6"
"262","27","normal","普通/恢复","Normal","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_normal_44_direct_normal_rect_dense_weave_g4_v05","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L262_direct_normal_44_direct_normal_rect_dense_weave_g4.asset","c5nep_w9smh_06_nutation_strict_mixed_hard_v1_rect_s05_o044_v01_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_06_nutation_strict_mixed_hard_v1_rect_s05_o044_v01_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_06_nutation_strict_mixed_hard_v1_rect_s05_o044_v01_strictmixedhard_mixed_chain.asset","cdcaa066311ec404196b0cdbdcb93cb9","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_06_nutation_strict_mixed_hard_v1_rect_s05_o044_v01_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","PeelMid","hardgate","curve_chain","hardgate","Normal","S03_front300_quality","102","65","76.69","0.98","10","4","0.862","target=102;stageTarget=102;effective=76.7;chains=65;role=Normal;style=hardgate;chain=curve_chain;cost=155.1","rhythm_v4|target=102;stageTarget=102;effective=76.7;chains=65;role=Normal;style=hardgate;chain=curve_chain;cost=155.1"
"263","27","shape","普通/恢复","Shape","REPLACED","True","ShapeCandidatePlanned","ActiveReplace","ManifestAsset","r2_outer_strong_005_r2_006_a401_maskonlyb05_04_main_cherries","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L263_r2_outer_strong_005_r2_006_a401_maskonlyb05_04_mai.asset","campaign500_shape_psg_remaining_hard_r3_06_L263_cherries_r3section","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingHardR3/campaign500_shape_psg_remaining_hard_r3_06_L263_cherries_r3section.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingHardR3/campaign500_shape_psg_remaining_hard_r3_06_L263_cherries_r3section.asset","1fbfd525ed22a4c4dbe77706cc6a078e","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingHardR3/campaign500_shape_psg_remaining_hard_r3_06_L263_cherries_r3section.asset","ShapeMaskInventory","shape_psg_inventory","LatestProposedKeep","","SectionUnlock","","","Shape","S03_front300_quality","116","94","","0.985","9","9","","unchanged_from_v3_or_non_normal","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"264","27","normal","特别困难","Pressure","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_pure_topup_10_12_direct_polish_hard_pure_rect_core_burst_g11_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L264_direct_pure_topup_10_12_direct_polish_hard_pure_re.asset","campaign500_longchain_prod200_pool_v1_05_l005_long_normal_b_normal_s01_slot_seedweave_braid_carrier","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_05_l005_long_normal_b_normal_s01_slot_seedweave_braid_carrier.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_05_l005_long_normal_b_normal_s01_slot_seedweave_braid_carrier.asset","e796a0a42cf355447bb2b38784de0e19","U/Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_05_l005_long_normal_b_normal_s01_slot_seedweave_braid_carrier.asset","SeedV5LongChain30Front300","normal","RhythmV4Front300TraceKeep","slot_seedweave_braid_carrier","longchain","family_profile_chain","longchain","Hard","S03_front300_quality","157","26","72.85","0.9492","11","4","0.91","target=157;stageTarget=157;effective=72.8;chains=26;role=Hard;style=longchain;chain=family_profile_chain;cost=254.4","rhythm_v4|target=157;stageTarget=157;effective=72.8;chains=26;role=Hard;style=longchain;chain=family_profile_chain;cost=254.4"
"265","27","normal","普通/恢复","Recovery","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_normal_70_direct_normal_rect_maze_long_chain_g0_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L265_direct_normal_70_direct_normal_rect_maze_long_chai.asset","c5hole_lowchoice_v1_h01r_37_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_37_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_37_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","2a427baf5d0f77942a0e953ea5306484","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_37_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","Campaign500_HardGateUntil0910","hardgate","choice_clamp_chain","hardgate","Recovery","S03_front300_quality","104","64","71.15","0.989","7","6","0.893","target=104;stageTarget=104;effective=71.2;chains=64;role=Recovery;style=hardgate;chain=choice_clamp_chain;cost=152.8","rhythm_v4|target=104;stageTarget=104;effective=71.2;chains=64;role=Recovery;style=hardgate;chain=choice_clamp_chain;cost=152.8"
"266","27","normal","普通/恢复","Normal","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_pure_topup_04_10_direct_normal_pure_rect_section_unlock_g7_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L266_direct_pure_topup_04_10_direct_normal_pure_rect_se.asset","nutation_longchain_candidate80_holefix_s2_v1_04_nutation_longchain_spine_v1_rect_c80hf2_01_d1_lock_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_04_nutation_longchain_spine_v1_rect_c80hf2_01_d1_lock_spine.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_04_nutation_longchain_spine_v1_rect_c80hf2_01_d1_lock_spine.asset","2efffda94bf00904ba88607d0b430e3d","U/Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_04_nutation_longchain_spine_v1_rect_c80hf2_01_d1_lock_spine.asset","NutationLongChainStrict60Front300","normal","RhythmV4Front300TraceKeep","maze_long_chain","longchain","spine_chain","longchain","Normal","S03_front300_quality","97","47","60.65","0.947","6","3","0.903","target=97;stageTarget=97;effective=60.6;chains=47;role=Normal;style=longchain;chain=spine_chain;cost=144.7","rhythm_v4|target=97;stageTarget=97;effective=60.6;chains=47;role=Normal;style=longchain;chain=spine_chain;cost=144.7"
"267","27","hole","普通/恢复","HoleRescue","KEPT_CURRENT","False","OriginalNonTarget","KeepCurrent","BasePreviewFallback","hole_highchain_extra_001_hc2_32x28_dual_b","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L267_hole_highchain_extra_001_hc2_32x28_dual_b.asset","hole_highchain_extra_001_hc2_32x28_dual_b","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L267_hole_highchain_extra_001_hc2_32x28_dual_b.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_001_hc2_32x28_dual_b.asset","393a2e0c92c98ca40bfb2928201fdaa9","U/Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_001_hc2_32x28_dual_b.asset","","","","","","","","HoleRescue","S03_front300_quality","82","","","","","","","unchanged_from_v3_or_non_normal",""
"268","27","shape","困难","Shape","REPLACED","True","ShapeCandidatePlanned","ActiveReplace","ManifestAsset","r2_outer_strong_005_r2_006_a401_maskonlyb05_02_main_boot","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L268_r2_outer_strong_005_r2_006_a401_maskonlyb05_02_mai.asset","campaign500_shape_psg_review_top3_rescue_77_L268_boot_sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_77_L268_boot_sweep.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_77_L268_boot_sweep.asset","8aa78f4d0c39b3c49bdb06792013a051","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_77_L268_boot_sweep.asset","ShapeMaskInventory","shape_psg_inventory","LatestProposedKeep","","Sweep","","","Shape","S03_front300_quality","118","95","","0.986","10","10","","unchanged_from_v3_or_non_normal","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"269","27","normal","极难","Peak","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_diff120_136_direct_diff_veryhard_dag_unlock_center_cross_g3_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L269_direct_diff120_136_direct_diff_veryhard_dag_unlock.asset","campaign500_longchain_prod200_pool_v1_25_l031_long_normal_a_sweep_s04_slot_seedmaze_chamber_corridor","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_25_l031_long_normal_a_sweep_s04_slot_seedmaze_chamber_corridor.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_25_l031_long_normal_a_sweep_s04_slot_seedmaze_chamber_corridor.asset","d95e96cef45e224419a0f0f6273aef52","U/Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_25_l031_long_normal_a_sweep_s04_slot_seedmaze_chamber_corridor.asset","SeedV5LongChain30Front300","normal","RhythmV4Front300TraceKeep","slot_seedmaze_chamber_corridor","longchain","family_profile_chain","longchain","PeakExtreme","S03_front300_quality","184","22","68.10","0.9335","9","3","0.909","target=184;stageTarget=184;effective=68.1;chains=22;role=PeakExtreme;style=longchain;chain=family_profile_chain;cost=323.8","rhythm_v4|target=184;stageTarget=184;effective=68.1;chains=22;role=PeakExtreme;style=longchain;chain=family_profile_chain;cost=323.8"
"270","27","normal","普通/恢复","Normal","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_normal_147_direct_normal_rect_dual_zone_g2_v15","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L270_direct_normal_147_direct_normal_rect_dual_zone_g2_.asset","c5nep_w4pl_04_nutation_peel_rect_s01_o008_v03_peellight_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w4pl/c5nep_w4pl_04_nutation_peel_rect_s01_o008_v03_peellight_curve_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w4pl/c5nep_w4pl_04_nutation_peel_rect_s01_o008_v03_peellight_curve_chain.asset","2206815ea17b4d645a33ba7d3735793d","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w4pl/c5nep_w4pl_04_nutation_peel_rect_s01_o008_v03_peellight_curve_chain.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","PeelMid","hardgate","curve_chain","hardgate","Normal","S03_front300_quality","114","64","73.87","0.986","10","5","0.912","target=114;stageTarget=114;effective=73.9;chains=64;role=Normal;style=hardgate;chain=curve_chain;cost=189.6","rhythm_v4|target=114;stageTarget=114;effective=73.9;chains=64;role=Normal;style=hardgate;chain=curve_chain;cost=189.6"
"271","28","normal","普通/恢复","Recovery","REPLACED","True","ReplacedRhythmV4","ActiveReplace","ManifestAsset","direct_pure_topup_05_16_direct_normal_pure_rect_maze_long_chain_g10_v05","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L271_direct_pure_topup_05_16_direct_normal_pure_rect_ma.asset","c5hole_lowchoice_v1_h03r_11_nutation_strict_mixed_peak_v1_rect_s12_o112_v04_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_11_nutation_strict_mixed_peak_v1_rect_s12_o112_v04_strictmixedpeak_strict_peak_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_11_nutation_strict_mixed_peak_v1_rect_s12_o112_v04_strictmixedpeak_strict_peak_chain_hf1.asset","c54f4ff1485e6454ba87d5239d2d3aa3","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_11_nutation_strict_mixed_peak_v1_rect_s12_o112_v04_strictmixedpeak_strict_peak_chain_hf1.asset","Campaign500_HardGateUntil0910","normal","RhythmV4Front300TraceKeep","Campaign500_HardGateUntil0910","hardgate","strict_peak_chain","hardgate","Recovery","S03_front300_quality","114","66","67.41","0.982","8","5","0.919","target=114;stageTarget=114;effective=67.4;chains=66;role=Recovery;style=hardgate;chain=strict_peak_chain;cost=187.4","rhythm_v4|target=114;stageTarget=114;effective=67.4;chains=66;role=Recovery;style=hardgate;chain=strict_peak_chain;cost=187.4"
